"Number / Range","Full Description","Procedure type","Approach","Replacement"
"021048C","Bypass Coronary Artery, One Artery from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021048F","Bypass Coronary Artery, One Artery from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021048W","Bypass Coronary Artery, One Artery from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0210493","Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0210498","Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0210499","Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021049C","Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021049F","Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021049W","Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104A3","Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104A8","Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104A9","Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104AC","Bypass Coronary Artery, One Artery from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104AF","Bypass Coronary Artery, One Artery from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104AW","Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104D4","Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104J3","Bypass Coronary Artery, One Artery from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104J8","Bypass Coronary Artery, One Artery from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104J9","Bypass Coronary Artery, One Artery from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104JC","Bypass Coronary Artery, One Artery from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104JF","Bypass Coronary Artery, One Artery from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104JW","Bypass Coronary Artery, One Artery from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104K3","Bypass Coronary Artery, One Artery from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104K8","Bypass Coronary Artery, One Artery from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104K9","Bypass Coronary Artery, One Artery from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104KC","Bypass Coronary Artery, One Artery from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104KF","Bypass Coronary Artery, One Artery from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104KW","Bypass Coronary Artery, One Artery from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104Z3","Bypass Coronary Artery, One Artery from Coronary Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104Z8","Bypass Coronary Artery, One Artery from Right Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104Z9","Bypass Coronary Artery, One Artery from Left Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104ZC","Bypass Coronary Artery, One Artery from Thoracic Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02104ZF","Bypass Coronary Artery, One Artery from Abdominal Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211083","Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211088","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211089","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021108C","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021108F","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021108W","Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211093","Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211098","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211099","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021109C","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021109F","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021109W","Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110A3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110A8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110A9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110AC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110AF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110AW","Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110J3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110J8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110J9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110JC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110JF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110JW","Bypass Coronary Artery, Two Arteries from Aorta with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110K3","Bypass Coronary Artery, Two Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110K8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110K9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110KC","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110KF","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110KW","Bypass Coronary Artery, Two Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110Z3","Bypass Coronary Artery, Two Arteries from Coronary Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110Z8","Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110Z9","Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110ZC","Bypass Coronary Artery, Two Arteries from Thoracic Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02110ZF","Bypass Coronary Artery, Two Arteries from Abdominal Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0211344","Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"02113D4","Bypass Coronary Artery, Two Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"0211444","Bypass Coronary Artery, Two Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211483","Bypass Coronary Artery, Two Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211488","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211489","Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021148C","Bypass Coronary Artery, Two Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021148F","Bypass Coronary Artery, Two Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021148W","Bypass Coronary Artery, Two Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211493","Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0211498","Bypass Coronary Artery, Two Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
