"Number / Range","Full Description","Procedure type","Approach","Replacement"
"02120A9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120AC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120AF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120AW","Bypass Coronary Artery, Three Arteries from Aorta with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120J3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120J8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120J9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120JC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120JF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120JW","Bypass Coronary Artery, Three Arteries from Aorta with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120K3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120K8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120K9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120KC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120KF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120KW","Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120Z3","Bypass Coronary Artery, Three Arteries from Coronary Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120Z8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120Z9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120ZC","Bypass Coronary Artery, Three Arteries from Thoracic Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02120ZF","Bypass Coronary Artery, Three Arteries from Abdominal Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0212344","Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"02123D4","Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"0212444","Bypass Coronary Artery, Three Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212483","Bypass Coronary Artery, Three Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212488","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212489","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021248C","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021248F","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021248W","Bypass Coronary Artery, Three Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212493","Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212498","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0212499","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021249C","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021249F","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021249W","Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124A3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124A8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124A9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124AC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124AF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124AW","Bypass Coronary Artery, Three Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124D4","Bypass Coronary Artery, Three Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124J3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124J8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124J9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124JC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124JF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124JW","Bypass Coronary Artery, Three Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124K3","Bypass Coronary Artery, Three Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124K8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124K9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124KC","Bypass Coronary Artery, Three Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124KF","Bypass Coronary Artery, Three Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124KW","Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124Z3","Bypass Coronary Artery, Three Arteries from Coronary Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124Z8","Bypass Coronary Artery, Three Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124Z9","Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124ZC","Bypass Coronary Artery, Three Arteries from Thoracic Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02124ZF","Bypass Coronary Artery, Three Arteries from Abdominal Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213083","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213088","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213089","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021308C","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021308F","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021308W","Bypass Coronary Artery, Four or More Arteries from Aorta with Zooplastic Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213093","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213098","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213099","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021309C","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021309F","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"021309W","Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130A3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130A8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130A9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130AC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130AF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130AW","Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Arterial Tissue, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130J3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130J8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130J9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130JC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130JF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130JW","Bypass Coronary Artery, Four or More Arteries from Aorta with Synthetic Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130K3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130K8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130K9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130KC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130KF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130KW","Bypass Coronary Artery, Four or More Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130Z3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130Z8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130Z9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130ZC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"02130ZF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery, Open Approach","Coronary Artery Bypass Graft","Open Approach",FALSE
"0213344","Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"02133D4","Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach","Coronary Artery Bypass Graft","Percutaneous Approach",FALSE
"0213444","Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213483","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213488","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213489","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021348C","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021348F","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021348W","Bypass Coronary Artery, Four or More Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213493","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213498","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"0213499","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021349C","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021349F","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"021349W","Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134A3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134A8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134A9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134AC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134AF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134AW","Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134D4","Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134J3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134J8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134J9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134JC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134JF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134JW","Bypass Coronary Artery, Four or More Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134K3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134K8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134K9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134KC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134KF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134KW","Bypass Coronary Artery, Four or More Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134Z3","Bypass Coronary Artery, Four or More Arteries from Coronary Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134Z8","Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134Z9","Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134ZC","Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"02134ZF","Bypass Coronary Artery, Four or More Arteries from Abdominal Artery, Percutaneous Endoscopic Approach","Coronary Artery Bypass Graft","Percutaneous Endoscopic Approach",FALSE
"027F04Z","Dilation of Aortic Valve with Drug-eluting Intraluminal Device, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"027F0DZ","Dilation of Aortic Valve with Intraluminal Device, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"027F0ZZ","Dilation of Aortic Valve, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"027F34Z","Dilation of Aortic Valve with Drug-eluting Intraluminal Device, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"027F3DZ","Dilation of Aortic Valve with Intraluminal Device, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"027F3ZZ","Dilation of Aortic Valve, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"027F44Z","Dilation of Aortic Valve with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027F4DZ","Dilation of Aortic Valve with Intraluminal Device, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027F4ZZ","Dilation of Aortic Valve, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027G04Z","Dilation of Mitral Valve with Drug-eluting Intraluminal Device, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"027G0DZ","Dilation of Mitral Valve with Intraluminal Device, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"027G0ZZ","Dilation of Mitral Valve, Open Approach","Mitral Valve repair/replacement","Open Approach",FALSE
"027G34Z","Dilation of Mitral Valve with Drug-eluting Intraluminal Device, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"027G3DZ","Dilation of Mitral Valve with Intraluminal Device, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"027G3ZZ","Dilation of Mitral Valve, Percutaneous Approach","Mitral Valve repair/replacement","Percutaneous Approach",FALSE
"027G44Z","Dilation of Mitral Valve with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027G4DZ","Dilation of Mitral Valve with Intraluminal Device, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027G4ZZ","Dilation of Mitral Valve, Percutaneous Endoscopic Approach","Mitral Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027J04Z","Dilation of Tricuspid Valve with Drug-eluting Intraluminal Device, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"027J0DZ","Dilation of Tricuspid Valve with Intraluminal Device, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"027J0ZZ","Dilation of Tricuspid Valve, Open Approach","Tricuspid Valve repair/replacement","Open Approach",FALSE
"027J34Z","Dilation of Tricuspid Valve with Drug-eluting Intraluminal Device, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"027J3DZ","Dilation of Tricuspid Valve with Intraluminal Device, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"027J3ZZ","Dilation of Tricuspid Valve, Percutaneous Approach","Tricuspid Valve repair/replacement","Percutaneous Approach",FALSE
"027J44Z","Dilation of Tricuspid Valve with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027J4DZ","Dilation of Tricuspid Valve with Intraluminal Device, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"027J4ZZ","Dilation of Tricuspid Valve, Percutaneous Endoscopic Approach","Tricuspid Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
"02CF0ZZ","Extirpation of Matter from Aortic Valve, Open Approach","Aortic Valve repair/replacement","Open Approach",FALSE
"02CF3ZZ","Extirpation of Matter from Aortic Valve, Percutaneous Approach","Aortic Valve repair/replacement","Percutaneous Approach",FALSE
"02CF4ZZ","Extirpation of Matter from Aortic Valve, Percutaneous Endoscopic Approach","Aortic Valve repair/replacement","Percutaneous Endoscopic Approach",FALSE
