"Number / Range","Full Description","Approach","WithDevice","DrugEluting","Brachytherapy"
"02713Z6","Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"02713ZZ","Dilation of Coronary Artery, Two Arteries, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"0271446","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027144Z","Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0271456","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027145Z","Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0271466","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027146Z","Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0271476","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027147Z","Dilation of Coronary Artery, Two Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"02714D6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714DZ","Dilation of Coronary Artery, Two Arteries with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714E6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714EZ","Dilation of Coronary Artery, Two Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714F6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714FZ","Dilation of Coronary Artery, Two Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714G6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714GZ","Dilation of Coronary Artery, Two Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02714T6","Dilation of Coronary Artery, Two Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02714TZ","Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02714Z6","Dilation of Coronary Artery, Two Arteries, Bifurcation, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
"02714ZZ","Dilation of Coronary Artery, Two Arteries, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
"0272046","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027204Z","Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0272056","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027205Z","Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0272066","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027206Z","Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"0272076","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"027207Z","Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach","Open Approach",TRUE,TRUE,FALSE
"02720D6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720DZ","Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720E6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720EZ","Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720F6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720FZ","Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720G6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720GZ","Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Open Approach","Open Approach",TRUE,FALSE,FALSE
"02720T6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02720TZ","Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Open Approach","Open Approach",TRUE,FALSE,TRUE
"02720Z6","Dilation of Coronary Artery, Three Arteries, Bifurcation, Open Approach","Open Approach",FALSE,FALSE,FALSE
"02720ZZ","Dilation of Coronary Artery, Three Arteries, Open Approach","Open Approach",FALSE,FALSE,FALSE
"0272346","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027234Z","Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0272356","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027235Z","Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0272366","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027236Z","Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"0272376","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"027237Z","Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,TRUE,FALSE
"02723D6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723DZ","Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723E6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723EZ","Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723F6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723FZ","Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723G6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723GZ","Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02723T6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02723TZ","Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02723Z6","Dilation of Coronary Artery, Three Arteries, Bifurcation, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"02723ZZ","Dilation of Coronary Artery, Three Arteries, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"0272446","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027244Z","Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0272456","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027245Z","Dilation of Coronary Artery, Three Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0272466","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027246Z","Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0272476","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027247Z","Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"02724D6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02724DZ","Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02724E6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02724EZ","Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02724F6","Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02724FZ","Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
