"Number / Range","Full Description","Approach","WithDevice","DrugEluting","Brachytherapy"
"02733G6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02733GZ","Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,FALSE
"02733T6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02733TZ","Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Percutaneous Approach","Percutaneous Approach",TRUE,FALSE,TRUE
"02733Z6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"02733ZZ","Dilation of Coronary Artery, Four or More Arteries, Percutaneous Approach","Percutaneous Approach",FALSE,FALSE,FALSE
"0273446","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027344Z","Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0273456","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027345Z","Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0273466","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027346Z","Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"0273476","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"027347Z","Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,TRUE,FALSE
"02734D6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734DZ","Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734E6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734EZ","Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734F6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734FZ","Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734G6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734GZ","Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,FALSE
"02734T6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02734TZ","Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",TRUE,FALSE,TRUE
"02734Z6","Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
"02734ZZ","Dilation of Coronary Artery, Four or More Arteries, Percutaneous Endoscopic Approach","Percutaneous Endoscopic Approach",FALSE,FALSE,FALSE
