"Code","Full Description","Class","Approach"
"0RG2371","Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG237J","Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23A0","Fusion of 2 or more Cervical Vertebral Joints with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23A1",NA,"spineFusion",NA
"0RG23AJ","Fusion of 2 or more Cervical Vertebral Joints with Interbody Fusion Device, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23J0","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23J1","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23JJ","Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23K0","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23K1","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23KJ","Fusion of 2 or more Cervical Vertebral Joints with Nonautologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23Z0","Fusion of 2 or more Cervical Vertebral Joints, Anterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23Z1","Fusion of 2 or more Cervical Vertebral Joints, Posterior Approach, Posterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG23ZJ","Fusion of 2 or more Cervical Vertebral Joints, Posterior Approach, Anterior Column, Percutaneous Approach","spineFusion","Percutaneous Approach"
"0RG2470","Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG2471","Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Posterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG247J","Fusion of 2 or more Cervical Vertebral Joints with Autologous Tissue Substitute, Posterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
"0RG24A0","Fusion of 2 or more Cervical Vertebral Joints with Interbody Fusion Device, Anterior Approach, Anterior Column, Percutaneous Endoscopic Approach","spineFusion","Percutaneous Endoscopic Approach"
