"Code","Full Description","Class","Approach"
"04B00ZZ","Excision of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04B03ZZ","Excision of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04B04ZZ","Excision of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04H00DZ","Insertion of Intraluminal Device into Abdominal Aorta, Open Approach","AAA","Open Approach"
"04H03DZ","Insertion of Intraluminal Device into Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04H04DZ","Insertion of Intraluminal Device into Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04L00DJ","Occlusion of Abdominal Aorta with Intraluminal Device, Temporary, Open Approach","AAA","Open Approach"
"04L00DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Open Approach","AAA","Open Approach"
"04L00ZZ","Occlusion of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04L03DJ","Occlusion of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Approach","AAA","Percutaneous Approach"
"04L03DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04L03ZZ","Occlusion of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04L04DZ","Occlusion of Abdominal Aorta with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04L04ZZ","Occlusion of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04Q00ZZ","Repair Abdominal Aorta, Open Approach","AAA","Open Approach"
"04Q03ZZ","Repair Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04Q04ZZ","Repair Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R007Z","Replacement of Abdominal Aorta with Autologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04R00JZ","Replacement of Abdominal Aorta with Synthetic Substitute, Open Approach","AAA","Open Approach"
"04R00KZ","Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04R047Z","Replacement of Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R04JZ","Replacement of Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04R04KZ","Replacement of Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U007Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04U00JZ","Supplement Abdominal Aorta with Synthetic Substitute, Open Approach","AAA","Open Approach"
"04U00KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Open Approach","AAA","Open Approach"
"04U037Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U03JZ","Supplement Abdominal Aorta with Synthetic Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U03KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Approach","AAA","Percutaneous Approach"
"04U047Z","Supplement Abdominal Aorta with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U04JZ","Supplement Abdominal Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04U04KZ","Supplement Abdominal Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V00D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Open Approach","AAA","Open Approach"
"04V00DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Open Approach","AAA","Open Approach"
"04V00DZ","Restriction of Abdominal Aorta with Intraluminal Device, Open Approach","AAA","Open Approach"
"04V00E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach","AAA","Open Approach"
"04V00EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Open Approach","AAA","Open Approach"
"04V00F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach","AAA","Open Approach"
"04V00FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Open Approach","AAA","Open Approach"
"04V00Z6","Restriction of Abdominal Aorta, Bifurcation, Open Approach","AAA","Open Approach"
"04V00ZZ","Restriction of Abdominal Aorta, Open Approach","AAA","Open Approach"
"04V03D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Approach","AAA","Percutaneous Approach"
"04V03ZZ","Restriction of Abdominal Aorta, Percutaneous Approach","AAA","Percutaneous Approach"
"04V04D6","Restriction of Abdominal Aorta, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04DJ","Restriction of Abdominal Aorta with Intraluminal Device, Temporary, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04DZ","Restriction of Abdominal Aorta with Intraluminal Device, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04E6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04EZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04F6","Restriction of Abdominal Aorta, Bifurcation, with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04FZ","Restriction of Abdominal Aorta with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04Z6","Restriction of Abdominal Aorta, Bifurcation, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"04V04ZZ","Restriction of Abdominal Aorta, Percutaneous Endoscopic Approach","AAA","Percutaneous Endoscopic Approach"
"0SR9019","Replacement of Right Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR901A","Replacement of Right Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR901Z","Replacement of Right Hip Joint with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR9029","Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR902A","Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR902Z","Replacement of Right Hip Joint with Metal on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR9039","Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR903A","Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR903Z","Replacement of Right Hip Joint with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR9049","Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR904A","Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR904Z","Replacement of Right Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR9069","Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR906A","Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR906Z","Replacement of Right Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR907Z","Replacement of Right Hip Joint with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SR90EZ","Replacement of Right Hip Joint with Articulating Spacer, Open Approach","THA","Open Approach"
"0SR90J9","Replacement of Right Hip Joint with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SR90JA","Replacement of Right Hip Joint with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SR90JZ","Replacement of Right Hip Joint with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SR90KZ","Replacement of Right Hip Joint with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRA009","Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRA00A","Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRA00Z","Replacement of Right Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRA019","Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRA01A","Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRA01Z","Replacement of Right Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRA039","Replacement of Right Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRA03A","Replacement of Right Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRA03Z","Replacement of Right Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRA07Z","Replacement of Right Hip Joint, Acetabular Surface with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRA0J9","Replacement of Right Hip Joint, Acetabular Surface with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRA0JA","Replacement of Right Hip Joint, Acetabular Surface with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRA0JZ","Replacement of Right Hip Joint, Acetabular Surface with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRA0KZ","Replacement of Right Hip Joint, Acetabular Surface with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRB019","Replacement of Left Hip Joint with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB01A","Replacement of Left Hip Joint with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB01Z","Replacement of Left Hip Joint with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB029","Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB02A","Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB02Z","Replacement of Left Hip Joint with Metal on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB039","Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB03A","Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB03Z","Replacement of Left Hip Joint with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB049","Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB04A","Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB04Z","Replacement of Left Hip Joint with Ceramic on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB069","Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB06A","Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB06Z","Replacement of Left Hip Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB07Z","Replacement of Left Hip Joint with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRB0EZ","Replacement of Left Hip Joint with Articulating Spacer, Open Approach","THA","Open Approach"
"0SRB0J9","Replacement of Left Hip Joint with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRB0JA","Replacement of Left Hip Joint with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRB0JZ","Replacement of Left Hip Joint with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRB0KZ","Replacement of Left Hip Joint with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRE009","Replacement of Left Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRE00A","Replacement of Left Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRE00Z","Replacement of Left Hip Joint, Acetabular Surface with Polyethylene Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRE019","Replacement of Left Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRE01A","Replacement of Left Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRE01Z","Replacement of Left Hip Joint, Acetabular Surface with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRE039","Replacement of Left Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRE03A","Replacement of Left Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRE03Z","Replacement of Left Hip Joint, Acetabular Surface with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRE07Z","Replacement of Left Hip Joint, Acetabular Surface with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRE0J9","Replacement of Left Hip Joint, Acetabular Surface with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRE0JA","Replacement of Left Hip Joint, Acetabular Surface with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRE0JZ","Replacement of Left Hip Joint, Acetabular Surface with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRE0KZ","Replacement of Left Hip Joint, Acetabular Surface with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRR019","Replacement of Right Hip Joint, Femoral Surface with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRR01A","Replacement of Right Hip Joint, Femoral Surface with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRR01Z","Replacement of Right Hip Joint, Femoral Surface with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRR039","Replacement of Right Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRR03A","Replacement of Right Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRR03Z","Replacement of Right Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRR07Z","Replacement of Right Hip Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRR0J9","Replacement of Right Hip Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRR0JA","Replacement of Right Hip Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRR0JZ","Replacement of Right Hip Joint, Femoral Surface with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRR0KZ","Replacement of Right Hip Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRS019","Replacement of Left Hip Joint, Femoral Surface with Metal Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRS01A","Replacement of Left Hip Joint, Femoral Surface with Metal Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRS01Z","Replacement of Left Hip Joint, Femoral Surface with Metal Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRS039","Replacement of Left Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRS03A","Replacement of Left Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRS03Z","Replacement of Left Hip Joint, Femoral Surface with Ceramic Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRS07Z","Replacement of Left Hip Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SRS0J9","Replacement of Left Hip Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach","THA","Open Approach"
"0SRS0JA","Replacement of Left Hip Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach","THA","Open Approach"
"0SRS0JZ","Replacement of Left Hip Joint, Femoral Surface with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SRS0KZ","Replacement of Left Hip Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SU907Z","Supplement Right Hip Joint with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SU909Z","Supplement Right Hip Joint with Liner, Open Approach","THA","Open Approach"
"0SU90BZ","Supplement Right Hip Joint with Resurfacing Device, Open Approach","THA","Open Approach"
"0SU90JZ","Supplement Right Hip Joint with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SU90KZ","Supplement Right Hip Joint with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SU937Z","Supplement Right Hip Joint with Autologous Tissue Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SU93JZ","Supplement Right Hip Joint with Synthetic Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SU93KZ","Supplement Right Hip Joint with Nonautologous Tissue Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SU947Z","Supplement Right Hip Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SU94JZ","Supplement Right Hip Joint with Synthetic Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SU94KZ","Supplement Right Hip Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SUA09Z","Supplement Right Hip Joint, Acetabular Surface with Liner, Open Approach","THA","Open Approach"
"0SUA0BZ","Supplement Right Hip Joint, Acetabular Surface with Resurfacing Device, Open Approach","THA","Open Approach"
"0SUB07Z","Supplement Left Hip Joint with Autologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SUB09Z","Supplement Left Hip Joint with Liner, Open Approach","THA","Open Approach"
"0SUB0BZ","Supplement Left Hip Joint with Resurfacing Device, Open Approach","THA","Open Approach"
"0SUB0JZ","Supplement Left Hip Joint with Synthetic Substitute, Open Approach","THA","Open Approach"
"0SUB0KZ","Supplement Left Hip Joint with Nonautologous Tissue Substitute, Open Approach","THA","Open Approach"
"0SUB37Z","Supplement Left Hip Joint with Autologous Tissue Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SUB3JZ","Supplement Left Hip Joint with Synthetic Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SUB3KZ","Supplement Left Hip Joint with Nonautologous Tissue Substitute, Percutaneous Approach","THA","Percutaneous Approach"
"0SUB47Z","Supplement Left Hip Joint with Autologous Tissue Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SUB4JZ","Supplement Left Hip Joint with Synthetic Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SUB4KZ","Supplement Left Hip Joint with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","THA","Percutaneous Endoscopic Approach"
"0SUE09Z","Supplement Left Hip Joint, Acetabular Surface with Liner, Open Approach","THA","Open Approach"
"0SUE0BZ","Supplement Left Hip Joint, Acetabular Surface with Resurfacing Device, Open Approach","THA","Open Approach"
"0SUR09Z","Supplement Right Hip Joint, Femoral Surface with Liner, Open Approach","THA","Open Approach"
"0SUR0BZ","Supplement Right Hip Joint, Femoral Surface with Resurfacing Device, Open Approach","THA","Open Approach"
"0SUS09Z","Supplement Left Hip Joint, Femoral Surface with Liner, Open Approach","THA","Open Approach"
"0SUS0BZ","Supplement Left Hip Joint, Femoral Surface with Resurfacing Device, Open Approach","THA","Open Approach"
"0SRC069","Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRC06A","Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRC06Z","Replacement of Right Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRC07Z","Replacement of Right Knee Joint with Autologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRC0EZ","Replacement of Right Knee Joint with Articulating Spacer, Open Approach","TKA","Open Approach"
"0SRC0J9","Replacement of Right Knee Joint with Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRC0JA","Replacement of Right Knee Joint with Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRC0JZ","Replacement of Right Knee Joint with Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRC0KZ","Replacement of Right Knee Joint with Nonautologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRC0L9","Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRC0LA","Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRC0LZ","Replacement of Right Knee Joint with Medial Unicondylar Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRC0M9","Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRC0MA","Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRC0MZ","Replacement of Right Knee Joint with Lateral Unicondylar Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRC0N9","Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRC0NA","Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRC0NZ","Replacement of Right Knee Joint with Patellofemoral Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRD069","Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRD06A","Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRD06Z","Replacement of Left Knee Joint with Oxidized Zirconium on Polyethylene Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRD07Z","Replacement of Left Knee Joint with Autologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRD0EZ","Replacement of Left Knee Joint with Articulating Spacer, Open Approach","TKA","Open Approach"
"0SRD0J9","Replacement of Left Knee Joint with Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRD0JA","Replacement of Left Knee Joint with Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRD0JZ","Replacement of Left Knee Joint with Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRD0KZ","Replacement of Left Knee Joint with Nonautologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRD0L9","Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRD0LA","Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRD0LZ","Replacement of Left Knee Joint with Medial Unicondylar Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRD0M9","Replacement of Left Knee Joint with Lateral Unicondylar Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRD0MA","Replacement of Left Knee Joint with Lateral Unicondylar Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRD0MZ","Replacement of Left Knee Joint with Lateral Unicondylar Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRD0N9","Replacement of Left Knee Joint with Patellofemoral Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRD0NA","Replacement of Left Knee Joint with Patellofemoral Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRD0NZ","Replacement of Left Knee Joint with Patellofemoral Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRT07Z","Replacement of Right Knee Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRT0J9","Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRT0JA","Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRT0JZ","Replacement of Right Knee Joint, Femoral Surface with Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRT0KZ","Replacement of Right Knee Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRU07Z","Replacement of Left Knee Joint, Femoral Surface with Autologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRU0J9","Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
"0SRU0JA","Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Uncemented, Open Approach","TKA","Open Approach"
"0SRU0JZ","Replacement of Left Knee Joint, Femoral Surface with Synthetic Substitute, Open Approach","TKA","Open Approach"
"0SRU0KZ","Replacement of Left Knee Joint, Femoral Surface with Nonautologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRV07Z","Replacement of Right Knee Joint, Tibial Surface with Autologous Tissue Substitute, Open Approach","TKA","Open Approach"
"0SRV0J9","Replacement of Right Knee Joint, Tibial Surface with Synthetic Substitute, Cemented, Open Approach","TKA","Open Approach"
