PROC CODE,PROCEDURE DESCRIPTION
80082,PANCREATIC PANEL                   
80084,PITUITARY PANEL                    
80084,PITUITARY PANEL                    
80085,MICROCYTIC ANEMIA PANEL            
80086,MACROCYTIC ANEMIA PANEL            
80088,TRANSITION PANEL (FOR MANAGEMENT OF
80089,MUSCLE PANEL                       
80090,TORCH ANTIBODY PANEL               
80091,THYROID PANEL                      
80091,THYROID PANEL                      
80092,THYROID PANEL WITH THYROID STIMULAT
80092,THYROID PANEL WITH THYROID STIMULAT
80099,UNLISTED PANEL                     
80100,DRUG SCREEN QUALITATE/MULTI        
80100,DRUG SCREEN QUALITATE/MULTI        
80101,DRUG SCREEN SINGLE                 
80101,DRUG SCREEN SINGLE                 
80102,"DRUG CONFIRMATION, EACH PROCEDURE  "
80102,"DRUG CONFIRMATION, EACH PROCEDURE  "
80102,"DRUG CONFIRMATION, EACH PROCEDURE  "
80103,DRUG ANALYSIS TISSUE PREP          
80104,DRUG SCRN 1+ CLASS NONCHROMO       
80143,DRUG ASSAY ACETAMINOPHEN           
80145,DRUG ASSAY ADALIMUMAB              
80150,AMIKACIN                           
80150,AMIKACIN                           
80150,AMIKACIN                           
80151,DRUG ASSAY AMIODARONE              
80152,AMITRIPTYLINE                      
80152,AMITRIPTYLINE                      
80152,AMITRIPTYLINE                      
80152,AMITRIPTYLINE                      
80154,BENZODIAZEPINES                    
80154,BENZODIAZEPINES                    
80154,BENZODIAZEPINES                    
80155,DRUG ASSAY CAFFEINE                
80155,DRUG ASSAY CAFFEINE                
80156,ASSAY CARBAMAZEPINE TOTAL          
80156,ASSAY CARBAMAZEPINE TOTAL          
80156,ASSAY CARBAMAZEPINE TOTAL          
80156,ASSAY CARBAMAZEPINE TOTAL          
80156,ASSAY CARBAMAZEPINE TOTAL          
80156,ASSAY CARBAMAZEPINE TOTAL          
80157,ASSAY CARBAMAZEPINE FREE           
80157,ASSAY CARBAMAZEPINE FREE           
80157,ASSAY CARBAMAZEPINE FREE           
80158,DRUG ASSAY CYCLOSPORINE            
80158,DRUG ASSAY CYCLOSPORINE            
80158,DRUG ASSAY CYCLOSPORINE            
80159,DRUG ASSAY CLOZAPINE               
80159,DRUG ASSAY CLOZAPINE               
80160,DESIPRAMINE                        
80160,DESIPRAMINE                        
80160,DESIPRAMINE                        
80160,DESIPRAMINE                        
80161,"ASY CARBAMAZEPIN 10,11-EPXID       "
80162,ASSAY OF DIGOXIN TOTAL             
80162,ASSAY OF DIGOXIN TOTAL             
80162,ASSAY OF DIGOXIN TOTAL             
80162,ASSAY OF DIGOXIN TOTAL             
80162,ASSAY OF DIGOXIN TOTAL             
80162,ASSAY OF DIGOXIN TOTAL             
80163,ASSAY OF DIGOXIN FREE              
80163,ASSAY OF DIGOXIN FREE              
80163,ASSAY OF DIGOXIN FREE              
80164,ASSAY DIPROPYLACETIC ACD TOT       
80164,ASSAY DIPROPYLACETIC ACD TOT       
80164,ASSAY DIPROPYLACETIC ACD TOT       
80164,ASSAY DIPROPYLACETIC ACD TOT       
80164,ASSAY DIPROPYLACETIC ACD TOT       
80164,ASSAY DIPROPYLACETIC ACD TOT       
80165,DIPROPYLACETIC ACID FREE           
80165,DIPROPYLACETIC ACID FREE           
80165,DIPROPYLACETIC ACID FREE           
80165,DIPROPYLACETIC ACID FREE           
80166,DOXEPIN                            
80166,DOXEPIN                            
80166,DOXEPIN                            
80167,DRUG ASSAY FELBAMATE               
80168,ETHOSUXIMIDE                       
80168,ETHOSUXIMIDE                       
80168,ETHOSUXIMIDE                       
80168,ETHOSUXIMIDE                       
80169,DRUG ASSAY EVEROLIMUS              
80169,DRUG ASSAY EVEROLIMUS              
80169,DRUG ASSAY EVEROLIMUS              
80169,DRUG ASSAY EVEROLIMUS              
80170,GENTAMICIN                         
80170,GENTAMICIN                         
80170,GENTAMICIN                         
80170,GENTAMICIN                         
80170,GENTAMICIN                         
80170,GENTAMICIN                         
80171,DRUG SCREEN QUANT GABAPENTIN       
80171,DRUG SCREEN QUANT GABAPENTIN       
80172,GOLD                               
80172,GOLD                               
80172,GOLD                               
80173,HALOPERIDOL                        
80173,HALOPERIDOL                        
80173,HALOPERIDOL                        
80173,HALOPERIDOL                        
80173,HALOPERIDOL                        
80173,HALOPERIDOL                        
80174,IMIPRAMINE                         
80174,IMIPRAMINE                         
80174,IMIPRAMINE                         
80174,IMIPRAMINE                         
80175,DRUG SCREEN QUAN LAMOTRIGINE       
